CD_MUN,MUNIC_RES,UF,LAT,LON
1100015,Alta Floresta D'Oeste - Rondônia,Rondônia,-12.470132,-62.274662
1100023,Ariquemes - Rondônia,Rondônia,-9.95188,-62.957245
1100031,Cabixi - Rondônia,Rondônia,-13.474878,-60.63981
1100049,Cacoal - Rondônia,Rondônia,-11.301288,-61.32473
1100056,Cerejeiras - Rondônia,Rondônia,-13.203562,-61.260952
1100064,Colorado do Oeste - Rondônia,Rondônia,-13.159153,-60.550243
1100072,Corumbiara - Rondônia,Rondônia,-12.926629,-61.09165
1100080,Costa Marques - Rondônia,Rondônia,-12.14725,-64.05877
1100098,Espigão D'Oeste - Rondônia,Rondônia,-11.351342,-60.784832
1100106,Guajará-Mirim - Rondônia,Rondônia,-11.305636,-64.53756
1100114,Jaru - Rondônia,Rondônia,-10.592447,-62.584866
1100122,Ji-Paraná - Rondônia,Rondônia,-10.46222,-61.75725
1100130,Machadinho D'Oeste - Rondônia,Rondônia,-9.204091,-62.01038
1100148,Nova Brasilândia D'Oeste - Rondônia,Rondônia,-11.643119,-62.28024
1100155,Ouro Preto do Oeste - Rondônia,Rondônia,-10.610557,-62.172535
1100189,Pimenta Bueno - Rondônia,Rondônia,-11.894466,-60.830395
1100205,Porto Velho - Rondônia,Rondônia,-9.153591,-64.30681
1100254,Presidente Médici - Rondônia,Rondônia,-11.166274,-61.877953
1100262,Rio Crespo - Rondônia,Rondônia,-9.645211,-62.790073
1100288,Rolim de Moura - Rondônia,Rondônia,-11.732557,-61.771557
1100296,Santa Luzia D'Oeste - Rondônia,Rondônia,-12.026968,-61.70109
1100304,Vilhena - Rondônia,Rondônia,-12.096018,-60.248615
1100320,São Miguel do Guaporé - Rondônia,Rondônia,-11.612161,-62.987732
1100338,Nova Mamoré - Rondônia,Rondônia,-10.382168,-64.6291
1100346,Alvorada D'Oeste - Rondônia,Rondônia,-11.311421,-62.54499
1100379,Alto Alegre dos Parecis - Rondônia,Rondônia,-12.593736,-61.880806
1100403,Alto Paraíso - Rondônia,Rondônia,-9.649318,-63.394333
1100452,Buritis - Rondônia,Rondônia,-10.052115,-63.941162
1100502,Novo Horizonte do Oeste - Rondônia,Rondônia,-11.681094,-62.083202
1100601,Cacaulândia - Rondônia,Rondônia,-10.331592,-62.98723
1100700,Campo Novo de Rondônia - Rondônia,Rondônia,-10.484934,-63.799717
1100809,Candeias do Jamari - Rondônia,Rondônia,-8.886997,-63.32561
1100908,Castanheiras - Rondônia,Rondônia,-11.470802,-61.88007
1100924,Chupinguaia - Rondônia,Rondônia,-12.537238,-60.89914
1100940,Cujubim - Rondônia,Rondônia,-9.171094,-62.565334
1101005,Governador Jorge Teixeira - Rondônia,Rondônia,-10.74803,-63.184013
1101104,Itapuã do Oeste - Rondônia,Rondônia,-9.17021,-63.04494
1101203,Ministro Andreazza - Rondônia,Rondônia,-11.160295,-61.56897
1101302,Mirante da Serra - Rondônia,Rondônia,-11.076838,-62.84798
1101401,Monte Negro - Rondônia,Rondônia,-10.210833,-63.37239
1101435,Nova União - Rondônia,Rondônia,-10.889344,-62.532352
1101450,Parecis - Rondônia,Rondônia,-12.262327,-61.415382
1101468,Pimenteiras do Oeste - Rondônia,Rondônia,-13.173876,-61.545307
1101476,Primavera de Rondônia - Rondônia,Rondônia,-11.878686,-61.315334
1101484,São Felipe D'Oeste - Rondônia,Rondônia,-11.904968,-61.46707
