UF_RES,UF_MOV,HOSPITALIZACOES,RES_LAT,RES_LON,MOV_LAT,MOV_LON
Acre,Amapá,1,-9.209710893485735,-70.47578331421067,1.446579361967846,-51.96205349152536
Acre,Amazonas,1,-9.209710893485735,-70.47578331421067,-4.140190123349732,-64.6516494903481
Acre,Goiás,1,-9.209710893485735,-70.47578331421067,-16.021068269554988,-49.61616789197541
Acre,Mato Grosso,2,-9.209710893485735,-70.47578331421067,-12.916186132060574,-55.9149517572351
Acre,Minas Gerais,2,-9.209710893485735,-70.47578331421067,-18.42237047816257,-44.668033901736656
Acre,Paraíba,1,-9.209710893485735,-70.47578331421067,-7.12044513673908,-36.83247370477853
Acre,Pernambuco,20,-9.209710893485735,-70.47578331421067,-8.324409775914233,-37.99762312297779
Acre,Rondônia,22,-9.209710893485735,-70.47578331421067,-10.90442312825415,-62.84474092395724
Acre,Santa Catarina,4,-9.209710893485735,-70.47578331421067,-27.240610757469174,-50.47740300071737
Acre,São Paulo,12,-9.209710893485735,-70.47578331421067,-22.250052902639116,-48.734659900719734
Alagoas,Bahia,3,-9.513145847398288,-36.62481420015896,-12.45234511713527,-41.72176450233577
Alagoas,Ceará,1,-9.513145847398288,-36.62481420015896,-5.089815983830066,-39.61608178595244
Alagoas,Goiás,3,-9.513145847398288,-36.62481420015896,-16.021068269554988,-49.61616789197541
Alagoas,Maranhão,3,-9.513145847398288,-36.62481420015896,-5.063473525889801,-45.286406362550146
Alagoas,Mato Grosso,3,-9.513145847398288,-36.62481420015896,-12.916186132060574,-55.9149517572351
Alagoas,Mato Grosso do Sul,3,-9.513145847398288,-36.62481420015896,-20.304769734215245,-54.84700428372272
Alagoas,Minas Gerais,8,-9.513145847398288,-36.62481420015896,-18.42237047816257,-44.668033901736656
Alagoas,Paraíba,3,-9.513145847398288,-36.62481420015896,-7.12044513673908,-36.83247370477853
Alagoas,Pará,1,-9.513145847398288,-36.62481420015896,-3.96360452999938,-53.07098190581554
Alagoas,Pernambuco,261,-9.513145847398288,-36.62481420015896,-8.324409775914233,-37.99762312297779
Alagoas,Rio Grande do Norte,2,-9.513145847398288,-36.62481420015896,-5.839255494364668,-36.67326985918983
Alagoas,Rio Grande do Sul,1,-9.513145847398288,-36.62481420015896,-29.678839629718627,-53.320051841053065
Alagoas,Rio de Janeiro,1,-9.513145847398288,-36.62481420015896,-22.1927501263549,-42.66029361738904
Alagoas,Santa Catarina,1,-9.513145847398288,-36.62481420015896,-27.240610757469174,-50.47740300071737
Alagoas,Sergipe,19,-9.513145847398288,-36.62481420015896,-10.582666889769746,-37.44371522874432
Alagoas,São Paulo,29,-9.513145847398288,-36.62481420015896,-22.250052902639116,-48.734659900719734
Amapá,Acre,1,1.446579361967846,-51.96205349152536,-9.209710893485735,-70.47578331421067
Amapá,Amazonas,5,1.446579361967846,-51.96205349152536,-4.140190123349732,-64.6516494903481
Amapá,Bahia,1,1.446579361967846,-51.96205349152536,-12.45234511713527,-41.72176450233577
Amapá,Ceará,3,1.446579361967846,-51.96205349152536,-5.089815983830066,-39.61608178595244
Amapá,Distrito Federal,1,1.446579361967846,-51.96205349152536,-15.780989331973725,-47.79684222599829
